Facility Name,Region,DataSource,IndividualId,Company/First Name,CAM,Care Team,Care Team Clinical Mgr,Telmediq ID,Facility Type,Status,Client Status,Facility NPI #,AddressLine1,City,State,StateCode,PostalCode,County,Work Phone,fax,Fax to Send Notes,Fax to Send Sched,Email,Email to Send Schedule,Lab,Lab Sched Day,Xray/Imaging,Home Health,Hospice,Total Patients,BHI Volume,CCM Volume,Telehealth Volume,Primary Care Volume,Primary Care ALF Volume,Primary Care SNF Volume,Primary Care IL Volume,Psychiatry Volume,Psychotherapy Volume,Ortho Volume,Mental Health Volume,Dermatology Volume,Podiatry Volume,Specialty Volume,Pain Volume,Wound Care Volume,MCO,APCM Volume,VBLTC Volume,Competitor,Licensed Bed #,Current Census #,Eventus EMR,Facility EMR MA Access,PC Provider 1,PC Provider 1 NPI,PC Sched Days 1,PC Provider 2,PC Provider 2 NPI,PC Sched Days 2,PC Provider 3,PC Sched Days 3,Medical Director,PC Sched Days 4,PC Provider - 4,PC Provider 1 / CTA,PC Provider 1 CTA,PC Provider 1 MA,PC Provider 2 MA,PC Start Date,PC Frequency,Medical Director Name,Psychiatry Provider 1,Psychiatry Provider 1 NPI,Psychiatry Sched Days 1,Psychiatry Provider 2,Psychiatry Provider 2 NPI,Psychiatry Sched Days 2,Psychiatry Provider 1 MA,Psychiatry Provider 2 MA,Psychiatry Provider 1 / CTA,Psychiatry Provider 1 CTA,Psychiatry Provider 2 CTA,Psychiatry Start Date,Psychiatry Frequency,Psychotherapy Provider 1,Psychotherapy Provider 1 NPI,Psychotherapy Sched Day 1,Psychotherapy Provider 2,Psychotherapy Sched Day 2,Psychotherapy Prov 1 MA,Psychotherapy Prov 2 MA,Psychotherapy Provider 2 NPI,Psychotherapy Provider 1 CTA,Psychotherapy Start Date,Psychotherapy Frequency,Podiatry Provider 1,Podiatry Provider 1 NPI,Podiatry Provider 2,Podiatry Provider 1 MA,Podiatry Sched Day 1,Podiatry Sched Day 2,Podiatry Start Date,Podiatry Frequency,Pain Provider 1,Pain Provider 1 MA,Pain Sched Day 1,Pain Provider 2,Pain Provider 2 MA,Pain Sched Day 2,Pain Start Date,Pain Frequency,Pain Freq Other,Pain Status,Wound Care Provider 1,Wound Care Provider 1 NPI,Wound Care Provider 1 MA,Wound Care Sched Day 1,Wound Care Provider 2,Wound Care Provider 2 MA,Wound Care Sched Day 2,Wound Care Start Date,Wound Care Frequency,Wound Care Freq Other,Wound Care Status,Specialty Provider 1,Specialty Provider 1 MA,Specialty Sched Day 1,Specialty Provider 2,Specialty Provider 2 MA,Specialty Sched Day 2,Specialty Start Date,Specialty Frequency,Specialty Freq Other,Specialty Status,Title/Position,Title,Parent Company,Legacy EMR,Mobile Phone,Alternate Phone,Contact 1,Contact 1 Email,Contact 1 Title/Position,Contact 1 Mobile Phone,Contact 1 Work Phone,Contact 1 Alternate Phone,Contact 2,Contact 2 Email,Contact 2 Title/Position,Contact 2 Mobile Phone,Contact 2 Work Phone,Contact 2 Alternate Phone,Contact 3,Contact 3 Email,Contact 3 Title Position,Contact 3 Mobile Phone,Contact 3 Work Phone,Contact 3 Alternate Phone,Contact 4,Contact 4 Email,Contact 4 Title/Position,Contact 4 Mobile Phone,Contact 4 Work Phone,Contact 4 Alternate Phone,Contact 5,Contact 5 Email,Contact 5 Title/Position,Contact 5 Mobile Phone,Contact 5 Work Phone,Contact 5 Alternate Phone,Contact 6,Contact 6 Email,Contact 6 Title/Position,Contact 6 Mobile Phone,Contact 6 Work Phone,Contact 6 Alternate Phone,Source System ID,AdvMD ID,AdvMD Name,Auto Sending of Sched,Attending MDDO,Attending MDDO NPI,Medical Director NPI,Back Up Lab,LTC ACO,ACO Reach,RMAL,Pharmacy,ACO Physician,ACO Physician NPI,EOD Report,BHI Coordinator,BHI Coordinator ID,Last Field Visit,Palliative Care NPI,Palliative Care Provider,Palliative Care Volume,SNP Volume,VA Patient Volume,Psychiatry Attending,Psychiatry Attending NPI,ISNP Provider,ISNP Provider NPI,Created,CMSCCN,,
The Cardinal at North Hills,,NULL,NULL,,Tonya Hoffman,Carolinas Southeast,Valerie Blouin-Hunter,NULL,SNF,Established,NULL,1407227382,4030 Cardinal at North Hills St,Raleigh,,North Carolina,27609,NULL,(984) 204-8444,(984) 204-8484,NULL,NULL,,john.heath@kiscosl.com,Mako,NULL,NULL,Legacy,Transitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,15,9,NULL,NULL,Joe Koelling,1689314478,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,Rayomand Bengali,Adaora Nnadike,1659264513,NULL,NULL,NULL,NULL,,,,,,NULL,NULL,China Gregory,1073123725,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Kisco,PCC,,,John Heath,john.heath@kiscosl.com,Administrator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1811152804,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,
Lenoir Assisted Living,,CP,6797765,,Grayson Rhodes,Carolinas Northeast,Leigh Cox Feranec,NULL,AL/MC,Established,Green,1740424498,2773 Pinewood Home Dr,Pink Hill,,North Carolina,28572,"Lenoir County, NC",2525686167,(252) 568-7457,NULL,NULL,,shakayla.boney@myvschome.com,Mako,Thursday,MMDS,NULL,NULL,27,20,20,19,24,24,0,0,0,0,0,0,0,0,0,7,0,NULL,4,0,NULL,NULL,NULL,1259,Caresuite,Mary Linton-Kops,1093429367,W Q2W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,XXX,0,NULL,NULL,NULL,NULL,,,,,,NULL,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,LUTHERAN SENIOR SERVICES,ECW,,,Linderick Auber,linderick.auber@myvschome.com,Executive Director,NULL,NULL,NULL,Matasha Farmer (lead Med Tech),NULL,SIC,NULL,NULL,NULL,Shakayla Boney,shakayla.boney@myvschome.com,Resident Care Coordinator (RCC),NULL,NULL,NULL,Meredith Seales,meredith@mytahome.com,Regional Operations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1259,3020,LENOIR ASSISTED LIVING,NULL,Stephanie Perry,1083796262,0,NULL,17,0,Haley Shaffer,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,XXX,0,NULL,NULL,7/17/2023 14:59,NULL,,
Becky's Rest Home,,CP,6798010,,Bambi Anderson,Carolinas West,Lindsey Schulten,NULL,AL,Established,Yellow,1881710911,316 LOWER BRUSH CREEK RD,Fletcher,,North Carolina,28732,"Henderson County, NC",8286281943,(828) 628-9931,NULL,NULL,,beckysresthome@gmail.com ,Mako,3-Tuesday,MMDS,Encompass,No preference,18,16,15,13,18,18,0,0,17,16,0,0,0,18,0,3,0,NULL,18,0,NULL,30,20,1123,Caresuite,Christiana Bredeweg,1437765021,F Q2W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Cody Knisley,1407696172,Tu Q1M,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,Michael Greenfield,1154735264,,,Q2M,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INDEPENDENT,Chartpath,,,Becky McIntosh,beckysresthome@gmail.com,Administrator,NULL,NULL,NULL,Pat Connor,beckysresthome@gmail.com,Business Office Manager (BOM),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1123,2884,BECKYS REST HOME,NULL,Jeff T. Hainsworth,1639437981,0,NULL,5,0,Elizabeth Giebel,NULL,NULL,NULL,NULL,Ciarah Garcia ,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 14:59,NULL,,
Morning Star Assisted Living Sylva,,CP,6807775,,Bambi Anderson,Carolinas West,Lindsey Schulten,NULL,AL,Established,Green,morningStarAssistedLivingSylva,95 MORNINGSTAR LN,Sylva,,North Carolina,28779,"Jackson County, NC",828-586-4002,(828) 586-9065,NULL,8285869056@rcfax.com,,jrogers@thecarolinasalliance.com,Mako,Wednesday,National Mobile Xray (MMDS),NULL,NULL,30,20,21,29,30,30,0,0,30,27,0,0,0,28,0,11,0,NULL,27,0,NULL,NULL,NULL,1030,Caresuite,Bethany Cope,1366298515,Tu 3/M,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Steffanie Mack,1023886637,Th Q2W,NULL,NULL,NULL,,,,,,4/2/2024,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,Michael Greenfield,1154735264,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INDEPENDENT,NULL,,,Jessica Rogers,jrogers@thecarolinasalliance.com,RCC,NULL,NULL,NULL,Misty Chandler ,mchandler@thecarolinasalliance.com,Executive Director ,NULL,NULL,NULL,Lauren Reavis,lreavis@rencaresolutions.com,COO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1030,2755,MORNING STAR ASSISTED LIVING SYLVA,NULL,Jeff T. Hainsworth,1639437981,0,NULL,11,0,Elizabeth Giebel,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,1124883426,Donisia Germany,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Highgrove Long Term Care Center,,CP,6807206,,Bambi Anderson,Triad,Nicole Garner,NULL,AL,Established,Green,1821145863,2135 S SCALES ST,Reidsville,,North Carolina,27320,"Rockingham County, NC",3363424112,336-342-4917,NULL,NULL,,NULL,Quest,2-Monday,NULL,NULL,NULL,34,23,26,31,0,0,0,0,30,32,0,0,0,0,0,0,0,NULL,0,0,NULL,NULL,NULL,1056,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Lisa Williams-Corbin,1497722177,Th Q1M,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INDEPENDENT,NULL,,,Tammy Niemczura,highgroveltcare@triad.twcbc.com,Executive Director,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1056,2791,HIGHGROVE LONG TERM CARE CENTER,NULL,XXX,NULL,0,NULL,0,0,Frances Long,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Alpine Health & Rehab of Asheboro,,CP,6806321,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,SNF,Established,Green,1023671765,230 E PRESNELL ST,Asheboro,,North Carolina,27203,"Randolph County, NC",336-629-1447,(336) 629-1463,NULL,NULL,,NULL,Labcorp,NULL,Mobile-X,NULL,NULL,78,49,48,73,0,0,0,0,74,60,0,0,0,0,0,0,0,NULL,12,0,NULL,NULL,NULL,1092,PCC - integrated,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Sarah Brant,1528710407,Th Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,Sarah Gonzalez-Graham,1942609300,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INDEPENDENT,Chartpath,,,Sherrie Staley,sherrie@alpinehcr.com,Other,NULL,NULL,H: 3366291447,Chip Sellers,chip@alpinehcr.com,Administrator,NULL,NULL,NULL,Kiesha Tiller,kiesha@alpinehcr.com,Other,NULL,NULL,NULL,Joseph Genove,joseph@alpinehcr.com,Director Operations,3363025530,NULL,H: 3366291447,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1092,2847,ALPINE HEALTH AND REHAB OF ASHEBORO,NULL,XXX,NULL,0,NULL,0,0,Brittany Morgan,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 14:59,345155,,
Marion  Assisted Living,,CP,6797325,,Bambi Anderson,Carolinas West,Lindsey Schulten,NULL,AL,Established,Red,mcdowellAssistedLiving,5234 NC 226 S,Marion,,North Carolina,28752,"McDowell County, NC",(828)-3580574    Alt # (828)-803-4720,(828)-358-0295,NULL,NULL,,NULL,Mako,Friday,MMDS,NULL,NULL,45,27,27,44,40,40,0,0,39,2,0,0,0,30,0,16,0,Smokey Mtn,35,0,NULL,NULL,NULL,1010,"Courtney Lackey, Tonika Daniels",Tracie Wolfe,1336829811,M Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Julia Dyer,1457036956,Th Q1W,NULL,NULL,NULL,,,,,,4/8/2024,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,Michael Greenfield,1154735264,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INDEPENDENT,Chartpath,,,Macy Rodriguez,macy@marionassistedliving.net,Resident Care Coordinator (RCC),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1010,2734,MCDOWELL ASSISTED LIVING,NULL,Jeff T. Hainsworth,1639437981,0,NULL,19,0,Elizabeth Giebel,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,0,XXX,0,0,0,TBD,1,NULL,NULL,7/17/2023 15:00,NULL,,
Cadence Garner MC,,CP,6797674,,Grayson Rhodes,Carolinas Southeast,Valerie Blouin-Hunter,NULL,AL/MC,Established,Green,cadenceGarnerMc,200 MINGLEWOOD DR,Garner,,North Carolina,27529,"Wake County, NC",9197731550,(919) 896-6559,NULL,919-896-6559,, shill@cadencesl.com; fnimer@CogirUSA.com ; burgos.rosado@cogirusa.com ,Mako,6-Friday,Trident Care, Kindred and Amedisys,TBD,15,11,14,13,15,15,0,0,14,12,0,0,0,14,0,1,0,NULL,12,0,NULL,84,52,1307,NULL,Patricia Condon,1962249433,W Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Mosebolatan Akande,1851132633,M Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,China Gregory,1073123725,F Q1W,NULL,NULL,,,NULL,,NULL,,Andrea Gilroy,1013265495,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,COGIR SENIOR LIVING,ECW,,,Nate Burgos-Rosado ,burgos.rosado@cogirusa.com ,RCC,NULL,NULL,NULL,Jackie McKenna,JMcKenna@CogirUSA.com,Director Sales/Marketing,NULL,NULL,NULL,Shanda Hill,shill@CogirUSA.com,Executive Director,NULL,NULL,NULL,Tonya Watt,twatt@CogirUSA.com,Activities Director,NULL,NULL,NULL,Burgos Nathanial Rosado,burgos.rosado@cogirusa.com ,MCD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1307,3069,CADENCE GARNER MC,NULL,Parul Bhagalia- Patel,1841518768,0,NULL,6,0,Jaleecia Morton,NULL,NULL,NULL,NULL,Katie Ellis,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Adams Farm Living Rehabilitation,,CP,6802764,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,SNF,Established,Green,1366552739,5100 MACKAY RD,JAMESTOWN,,North Carolina,27282,"Guilford County, NC",(336)855-5596,(336)855-5590,NULL,NULL,, medicalrecords@adamsfarmliving.com,NULL,NULL,NULL,NULL,NULL,31,16,17,27,0,0,0,0,25,29,0,0,0,0,0,0,0,NULL,2,0,NULL,120,112,1025,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Lisa Williams-Corbin,1497722177,Th Q1M,NULL,NULL,NULL,,,,,,NULL,NULL,Elizabeth Bryant,1508603663,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Century Care,NULL,,,Sherri Ingram-Bass,NULL,Administrator,3363836736,3368555596,M: 3363836736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1025,2748,ADAMS FARM LIVING AND REHABILITATION,NULL,XXX,NULL,0,NULL,0,0,Brittany Morgan,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 14:59,345535,,
The Cardinal at North Hills AL,,CP,6798167,,Grayson Rhodes,Carolinas Southeast,Valerie Blouin-Hunter,NULL,AL,Established,Green,theCardinalAtNorthHillsAl, 4030 Cardinal at North Hills St,Raleigh,,North Carolina,27609,"Wake County, NC",984-206-3830,(984) 204-8484,NULL,9842048484,,sarah.bright@kiscosl.com ; Sarah.Bright@kiscosl.com ; Rashika.Hill@kiscosl.com ; Elizabeth.little@kiscosl.com ; Fatima.Shamsiddeen@kiscosl.com ; sharon.staten@kiscosl.com,Mako,Tuesday,Trident Care,Nurse Care NC & Bayada,Transitions,32,20,28,29,29,29,0,0,17,20,0,0,0,0,0,5,0,NULL,19,0,NULL,NULL,NULL,1368,NULL,Joe Koelling,1689314478,"M, W, Th Q1W",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Adaora Nnadike,1659264513,F Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,China Gregory,1073123725,Th Q1W,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,KISCO SENIOR LIVING,ECW,,,Rashika Hill,Rashika.Hill@kiscosl.com,Interim RCM,NULL,NULL,NULL,"Fatima Shamsiddeen, LPN",Fatima.shamsiddeen@kiscosl.com,RCM,NULL,NULL,NULL,Elizabeth Little,elizabeth.little@kiscosl.com,RCM,Lynn Sellars lynn.sellars@kiscosl.com DON,NULL,NULL,Jaime Pacheco,jaime.pacheco@kiscosl.com,Executive Director/ GM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,John David Heath,John.Heath@kiscosl.com,Healthcare Administrator,919.628.2943, 984.204.8444 ,NULL,1368,3128,THE CARDINAL AT NORTH HILLS AL,NULL,Rayomand Bengali,1811152804,0,NULL,18,0,Jaleecia Morton,NULL,NULL,NULL,NULL,Katie Ellis,NULL,00:00.0,0,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
