facility_name,type,address,city,zip,administrator,phone,fax,license_num,lic_expire
1019 BELLE'S PLACE OF CRAWFORDSVILLE,Residential,100 BICKFORD LN,CRAWFORDSVILLE,47933,TAMI MUSSCHE,7653622000,N/A,25-003674-1,9/30/2026
1019 BELLE'S PLACE OF WABASH,Residential,3037 W DIVISION RD,WABASH,46992,JORDAN KEELING,2605692000,N/A,25-003466-1,9/30/2026
1019 SENIOR LIVING VERMILLION PLACE,Residential,449 MAIN ST,ANDERSON,46016,ZOE KESLER,7656227825,N/A,25-011970-1,10/31/2026
ADDISON PLACE,Residential,2244 Q AVE,NEW CASTLE,47362,JACKIE ADAMS,7655213220,N/A,25-004426-1,6/30/2026
ALLISONVILLE MEADOWS ASSISTED LIVING,Residential,10410 ALLISONVILLE ROAD,FISHERS,46038,KAITLIN BUENAVIDES,3174366400,N/A,26-013039-1,1/31/2027
"APERION ESTATES PERU, LLC",Residential,1200 KITTY HAWK DRIVE,PERU,46970,JEFFREY ATTINGER,7656897305,N/A,25-013327-1,8/31/2026
ARBOR GLEN INDEPENDENT & ASSISTED LIVING COMMUNITY,Residential,5202 ST JOE ROAD,FORT WAYNE,46835,MARY BOLLING,2604922202,N/A,25-015503-1,5/31/2026
ASSISTED LIVING AT HARTSFIELD VILLAGE,Residential,10002 COLUMBIA AVE,MUNSTER,46321,ALYSSA FUSCO,2199340580,N/A,25-010937-1,3/31/2026
ASSISTED LIVING AT ROMWEBER FLATS,Residential,123 SOUTH DEPOT STREET,BATESVILLE,47006,AMBER BUSALD,8129323528,N/A,26-013321-1,12/31/2026
ASTER PLACE,Residential,741 PARK EAST BLVD,LAFAYETTE,47905,CARI BRANSHAW,7654463540,N/A,25-013045-1,11/30/2026
"AUBURN SENIOR LIVING, LLC",Residential,1675 W SEVENTH STREET,AUBURN,46706,GRACE FAUROTE,2609088300,N/A,25-014775-1,10/31/2026
AUTUMN GLEN,Residential,98 NORTH 10TH STREET,GREENCASTLE,46135,MICHELLE MCCLURE,7656536999,N/A,25-013322-1,10/31/2026
AVALON SENIOR LIVING,Residential,6021 S ARLINGTON AVENUE,INDIANAPOLIS,46237,JERRILYNN MOREHOUS,3179999292,N/A,25-015486-1,3/31/2026
AVIVA MERRILLVILLE,Residential,7900 RHODE ISLAND STREET,MERRILLVILLE,46410,MERIAM HILLIS,2195254123,N/A,26-013733-1,1/31/2027
AVIVA VALPARAISO,Residential,1300 VALE PARK RD,VALPARAISO,46383,DEBORAH ATSAS,2195312484,N/A,25-012181-1,6/30/2026
BELL OAKS PLACE,Residential,4200 WYNTREE DR,NEWBURGH,47630,REBECCA LUCAS,8128580488,N/A,25-004903-1,6/30/2026
BELVEDERE SENIOR HOUSING,Residential,343 E 90TH DRIVE,MERRILLVILLE,46410,STEPHANIE WESTPHAL,2197692145,N/A,26-014178-1,2/28/2027
BENNETT PLACE,Residential,3928 HORNE AVE,NEW ALBANY,47150,JASON KIRBY,8129481960,N/A,25-004442-1,6/30/2026
BETHANY VILLAGE ASSISTED LIVING,Residential,3530 S SHELBY ST,INDIANAPOLIS,46227,GARY GRIFFIN,3177843066,N/A,26-001121-1,12/31/2026
BICKFORD OF CARMEL,Residential,5829  EAST 116TH STREET,CARMEL,46033,JENNIFER HODGE,3178071500,N/A,25-013217-1,5/31/2026
BICKFORD OF CROWN POINT,Residential,140 E 107TH AVENUE,CROWN POINT,46307,ELIZABETH CUNNINGHAM,2196630972,N/A,25-012940-1,4/30/2026
BICKFORD OF GREENWOOD,Residential,3021 STELLA DRIVE,GREENWOOD,46143,KATELYN HOLDING,3178073077,N/A,26-012938-1,2/28/2027
BLOOM AT EAGLE CREEK,Residential,5045 W 52ND ST,INDIANAPOLIS,46254,MICHAEL MCCOSKEY,3172932929,N/A,25-003915-1,7/31/2026
BLOOM AT GERMAN CHURCH,Residential,2250 HARVEST MOON DR,INDIANAPOLIS,46229,KIMBERLY LINGLE,3172498092,N/A,25-003916-1,7/31/2026
BLOOM AT KESSLER,Residential,5011 KESSLER BLVD E,INDIANAPOLIS,46220,HELGA BRADLEY,3172511300,N/A,25-010064-1,8/31/2026
BLOOM AT KOKOMO,Residential,2800 S DIXON RD,KOKOMO,46902,KATHERINE HOPWOOD,7654552828,N/A,25-011366-1,4/30/2026
BLOOM AT WILLOW,Residential,2725 LAKE CIRCLE DR,INDIANAPOLIS,46268,KOURTNEY HARVERY,3173349400,N/A,25-010234-1,9/30/2026
BRECKENRIDGE COMMONS,Residential,2009 NORTH HOSPITAL BLVD,SULLIVAN,47882,ERIN CRAIG,8122682000,N/A,25-013401-1,8/31/2026
BRENTWOOD AT ELKHART ASSISTED LIVING,Residential,3109 E BRISTOL,ELKHART,46514,COURTNEY KRYDER,5742664508,N/A,25-010065-1,4/30/2026
BRENTWOOD AT HOBART,Residential,1420 ST MARYS CIRCLE,HOBART,46342,NAKIA HILL,2199451968,N/A,25-002627-1,4/30/2026
BRENTWOOD AT LAPORTE,Residential,2002 ANDREW AVE,LA PORTE,46350,KYLIE HINTZ,2193251599,N/A,25-010890-1,4/30/2026
BRIDGE AT GARDEN PLAZA,Residential,8614 W 10TH  ST,INDIANAPOLIS,46234,DANIEL FINK,3172711020,N/A,25-005616-1,8/31/2026
BRIDGEPOINTE GARDENS,Residential,3100 UTICA SELLERSBURG ROAD,JEFFERSONVILLE,47130,JESSE RAY,8128181414,N/A,25-015122-1,11/30/2026
BROOKDALE CARMEL,Residential,301 EXECUTIVE DR,CARMEL,46032,EVELYN LAWS,3175800389,N/A,25-010416-1,10/31/2026
BROOKDALE GRANGER,Residential,430 CLEVELAND RD,GRANGER,46530,SUSAN TIPTON HUTTEL,5742439020,N/A,25-002656-1,5/31/2026
BROOKDALE VALPARAISO,Residential,2601 VALPARAISO ST,VALPARAISO,46383,JUDITH SIPICH,2195482230,N/A,25-010757-1,8/31/2026
BROWNSBURG MEADOWS ASSISTED LIVING,Residential,7133 MEADOW TRAIL,BROWNSBURG,46112,TYLER BRAMMER,3178521977,N/A,25-013356-1,10/31/2026
CEDAR CREEK OF BEDFORD,Residential,3008 SHAWNEE DR S,BEDFORD,47421,KIMBERLY WATSON,8122752468,N/A,26-004011-1,12/31/2026
CEDAR CREEK OF BLOOMINGTON,Residential,2770 S ADAMS RD,BLOOMINGTON,47403,TAMARA VAUGHN,8123318153,N/A,26-004016-1,12/31/2026
CEDAR CREEK OF BLOOMINGTON MEMORY CARE,Residential,3203 MOORES PIKE ROAD,BLOOMINGTON,47401,MAURICE WOOLFOLK,8123354655,N/A,26-012706-1,1/31/2027
CEDAR CREEK OF FORT WAYNE,Residential,2116 BUTLER RD,FORT WAYNE,46815,BELINDA BRANHAM,2604710944,N/A,26-004686-1,12/31/2026
CEDAR CREEK OF FRANKLIN,Residential,1435 CHRISTIAN BLVD,FRANKLIN,46131,JULIA BERRY,3175356550,N/A,26-004017-1,12/31/2026
CEDAR CREEK OF LOGANSPORT,Residential,3901 HIGH STREET RD,LOGANSPORT,46947,JASON WAFFORD,5747392134,N/A,26-004441-1,12/31/2026
CEDAR CREEK OF MARION,Residential,725 W 50TH ST,MARION,46953,DORINE WARD,7656770095,N/A,26-004028-1,12/31/2026
CEDAR CREEK OF MUNCIE,Residential,2410 E MCGALLIARD RD,MUNCIE,47303,DIERDE WILEY,7652847670,N/A,26-004428-1,12/31/2026
CEDAR CREEK OF SEYMOUR,Residential,2288 NICHOLAS CT,SEYMOUR,47274,KATIE LUCAS,8125238991,N/A,26-004376-1,12/31/2026
CEDAR CREEK OF WARSAW,Residential,425 CHINWORTH CT,WARSAW,46580,MARCIE FISHER,5742673873,N/A,26-011389-1,12/31/2026
CEDAR CREEK OF WASHINGTON,Residential,297 SOUTH 100 EAST,WASHINGTON,47501,YOKO SWANSON,8122545230,N/A,26-004904-1,12/31/2026
