cluster_num,address,city,state,excel_row,facility_name,corp,type,beds,census,served,integ,pcp,mh,barrier,source,campus_id,has_served
1,3800 Eli Pl,Newburgh,IN,4833,HAMILTON POINTE HEALTH AND REHAB - MC,RIVERVIEW HOSPITAL,ALF,7,6.0,Yes,No,Yes,No,,GLR,,Yes
1,3800 Eli Pl,Newburgh,IN,4832,HAMILTON POINTE HEALTH AND REHAB - AL,RIVERVIEW HOSPITAL,ALF,25,20.0,Yes,No,Yes,No,,GLR,,Yes
1,3800 Eli Pl,Newburgh,IN,4834,HAMILTON POINTE HEALTH AND REHAB - SNF,RIVERVIEW HOSPITAL,SNF,70,56.0,Yes,No,Yes,No,,GLR,,Yes
2,6723 S Anthony Blvd,Fort Wayne,IN,4895,LLV - SOUTH ANTHONY - HOMES/CLINIC,LUTHERAN LIFE VILLAGES,ALF,30,24.0,Yes,No,No,Yes,,GLR,,Yes
2,6723 S Anthony Blvd,Fort Wayne,IN,4896,LLV - SOUTH ANTHONY ALF,LUTHERAN LIFE VILLAGES,ALF,31,25.0,Yes,Yes,No,No,,GLR,,Yes
2,6723 S Anthony Blvd,Fort Wayne,IN,4897,LLV - SOUTH ANTHONY SNF,LUTHERAN LIFE VILLAGES,SNF,99,79.0,Yes,No,No,Yes,,GLR,,Yes
3,"100 Carmel Manor Rd,",Fort Thomas,KY,5713,CARMEL MANOR FORT THOMAS AL,CARMELITE SYSTEM,ALF,11,9.0,Yes,Yes,No,No,,GLR,,Yes
3,"100 Carmel Manor Rd,",Fort Thomas,KY,5714,CARMEL MANOR FORT THOMAS SNF,CARMELITE SYSTEM,ALF,87,70.0,Yes,No,No,Yes,,GLR,,Yes
4,108 S Miller St,Cynthiana,KY,6055,SHADY LAWN - CYNTHIANA,"SHADY LAWN, LLC",ALF,56,45.0,Yes,Yes,No,No,,GLR,,Yes
4,108 S Miller St,Cynthiana,KY,19276,SHADY LAWN,"SHADY LAWN, LLC",ALF,75,60.0,No,No,No,No,,GLR,,Yes
5,122 Leonardwood Dr,Frankfort,KY,5757,DOMINION SENIOR LIVING OF FRANKFORT,DOMINION SENIOR LIVING,ALF,21,17.0,Yes,No,No,Yes,,GLR,,Yes
5,122 Leonardwood Dr,Frankfort,KY,5753,DOMINION SENIOR LIVING FRANKFORT,DOMINION SENIOR LIVING,ALF,60,48.0,No,No,No,No,,GLR,,Yes
6,3362 Buckland Sq,Owensboro,KY,5928,MORNING POINTE OWENSBORO,MORNING POINTE SENIOR LIVING,ALF,14,11.0,Yes,Yes,No,No,,GLR,,Yes
6,3362 Buckland Sq,Owensboro,KY,5934,MORNING POINTE OF OWENSBORO,GENESIS,ALF,66,53.0,No,No,No,No,,NIC-A,,Yes
