pair_num,addr_key,state,city,address_raw,num_rows_at_addr
1,3043 N LINTEL DR,IN,BLOOMINGTON,3043 NORTH LINTEL DRIVE,4
2,1540 S LOGAN ST,IN,Mishawaka,1540 S Logan St,2
3,559 W LONGEST ST,IN,PAOLI,559 W LONGEST ST,2
4,5354 W 62ND ST,IN,Indianapolis,5354 W 62Nd St,3
5,363 S FIELDSTONE BLVD,IN,BLOOMINGTON,363 SOUTH FIELDSTONE BLVD,4
6,7301 E 16TH ST,IN,INDIANAPOLIS,7301 E 16TH ST,2
7,618 LOVERS LN,KY,Bowling Green,618 Lovers Ln,3
8,122 LEONARDWOOD DR,KY,Frankfort,122 Leonardwood Dr,2
9,1227 STATE ROUTE 45 N,KY,Mayfield,1227 State Route 45 N,2
10,3362 BUCKLAND SQ,KY,Owensboro,3362 Buckland Sq,2
11,108 S MILLER ST,KY,Cynthiana,108 S Miller St,2
12,981 CAMPBELL LN,KY,Bowling Green,981 Campbell Ln,2
13,752 E CENTER AVE,NC,MOORESVILLE,752 E CENTER AVENUE,3
14,3506 FLINT ST,NC,Greensboro,3506 Flint St,2
15,3504 FLINT ST,NC,Greensboro,3504 Flint St,2
16,2060 W FIFTH ST,NC,Greenville,2060 W Fifth St,2
17,101 ANNIE PARKER CIR,NC,Smithfield,101 Annie Parker Cir,2
18,103 APPALACHIAN BLVD,NC,Arden,103 Appalachian Blvd,3
19,1345 SEED TICK NECK RD,NC,Washington,1345 Seed Tick Neck Rd,2
20,602 PINEY GROVE RD,NC,Kernersville,602 Piney Grove Rd,2
21,3101 DURALEIGH RD,NC,Raleigh,3101 Duraleigh Rd,2
22,3896 N ELM ST,NC,Greensboro,3896 N. Elm St,3
23,139 APEX LN,NC,Mt. Airy,139 Apex Ln,2
24,2600 CROASDAILE FARM PKWY,NC,DURHAM,2600 CROASDAILE FARM PARKWAY,4
25,217 JONESBORO RD,NC,Dunn,217 Jonesboro Rd.,2
26,4124 PECAN DR,NC,Hope Mills,4124 Pecan Dr,2
27,1267 PINNACLE CHURCH RD,NC,Nebo,1267 Pinnacle Church Rd,3
28,114 POLKS VILLAGE LN,NC,Chapel Hill,114 Polks Village Ln,2
29,160 HEALTH CARE DR,NC,Rutherfordton,160 Health Care Dr,3
30,2908 COUNTRY HOME RD,NC,Concord,2908 Country Home Rd,2
31,100 HICKORY ST,NC,Greenville,100 Hickory St,2
32,200 COVENTRY DR,NC,Oxford,200 Coventry Dr,2
33,901 W NEW HOPE RD,NC,Goldsboro,901 W New Hope Rd,3
34,3508 FLINT ST,NC,Greensboro,3508 Flint St,3
35,5600 N ROXBORO RD,NC,Durham,5600 N Roxboro Rd,2
36,1130 FALLS RIVER AVE,NC,Raleigh,1130 Falls River Ave,2
37,1110 FALLS RIVER AVE,NC,Raleigh,1110 Falls River Ave,2
38,100 SUNSET DR,NC,Youngsville,100 Sunset Dr,2
39,84 JOHNSON ESTATE RD,NC,Clayton,84 Johnson Estate Rd,2
40,11 COMMERCE DR,NC,Gatesville,11 Commerce Dr,2
41,500 LENOIR RD,NC,Morgonton,500 Lenoir Rd,2
42,6781 OLD US HWY 52,NC,Lexington,6781 Old US Hwy 52,2
43,1050 CRESCENT GREEN DR,NC,Cary,1050 Crescent Green Dr,2
44,1650 COKEY RD,NC,Rocky Mount,1650 Cokey Rd,2
45,240 ANN ST,NC,Fayetteville,240 Ann St,3
46,191 CRESTVIEW DR,NC,Mocksville,191 Crestview Dr,2
47,891 NOELL LN,NC,Rocky Mount,891 Noell Ln,2
48,312 HARRISON AVE,NC,Yadkinville,312 Harrison Ave,3
49,9051 HWY 181,NC,Jonas Ridge,9051 Hwy 181,2
50,250 HOPKINS RD,NC,Kernersville,250 Hopkins Rd,2
51,63 LAKEVIEW DR N,NC,Marion,63 Lakeview Dr N,3
52,5215 CREEDMOOR RD,NC,Raleigh,5215 Creedmoor Rd,2
53,5301 CREEDMOOR RD,NC,Raleigh,5301 Creedmoor Rd,2
54,5235 NC 226 S,NC,Marion,5235 Nc 226 S,3
55,170 S MAIN ST,NC,Mars Hill,170 S Main St,2
56,3806 KATHY RD,NC,Morgonton,3806 Kathy Rd,2
57,1999 S NC HWY 119,NC,Mebane,1999 S Nc Hwy 119,2
58,416 N PARKER ST,NC,Elm City,416 N Parker St,2
59,95 MORNINGSTAR LN,NC,Sylva,95 Morningstar Ln,2
60,801 DIXIE TRL,NC,Raleigh,801 Dixie Trl,2
61,650 GOLDROCK RD,NC,Rocky Mount,650 Goldrock Rd,2
62,2105 W ARLINGTON BLVD,NC,Greenville,2105 W. Arlington Blvd,2
63,1670 WESTBROOK AVE,NC,Burlington,1670 Westbrook Ave,2
64,112 PONY BARN RD,NC,Lawndale,112 Pony Barn Rd,2
65,1294 PRIDDY RD,NC,King,1294 Priddy Rd,2
66,5820 CARMEL RD,NC,Charlotte,5820 Carmel Rd,2
67,1000 JOHNS RD,NC,Laurinburg,1000 Johns Rd,2
68,3134 HARMONY HWY,NC,Harmony,3134 Harmony Hwy,2
69,5660 DURHAM RD,NC,Roxboro,5660 Durham Rd,2
70,390 HARDIN RD,NC,Forest City,390 Hardin Rd,2
71,8398 FAYETTEVILLE RD,NC,Raeford,8398 Fayetteville Rd,2
72,560 S ALLEN RD,NC,Flat Rock,560 S Allen Rd,2
73,105 CONVENTION DR,NC,Cary,105 Convention Dr,2
74,405 SMITH LEVEL RD,NC,Chapel Hill,405 Smith Level Rd,2
75,1600 US HWY 221 S,NC,Forest City,1600 US Hwy 221 S,2
76,703 ELIZABETH ST,NC,Tabor City,703 Elizabeth St.,2
77,1164 71ST SCHOOL RD,NC,Fayetteville,1164 71St School Rd,2
78,6516 JOHNSON POND RD,NC,Fuquay Varina,6516 Johnson Pond Rd,3
79,5100 LANSING DR,NC,Winston-Salem,5100 Lansing Dr,2
80,6016 PINE TOWN RD,NC,Oxford,6016 Pine Town Rd,3
81,3750 HARPER RD,NC,Clemmons,3750 Harper Rd,2
82,1297 GALAX TRL,NC,Mt Airy,1297 Galax Trl,2
83,950 US HWY 64 E,NC,Columbia,950 US Hwy 64 E,2
84,2521 MURIEL DR,NC,Fayetteville,2521 Muriel Dr,2
85,411 WINDMILL ST,NC,Walnut Cove,411 Windmill St,2
86,630 WHITTIER AVE,NC,High Point,630 Whittier Ave,2
87,30 DALEA DR,NC,Asheville,30 Dalea Dr,2
88,301 CRAIG ST,NC,Mt. Holly,301 Craig St,2
89,4580 E GALBRAITH RD,OH,Cincinnati,4580 E Galbraith Rd,2
90,5970 KENWOOD RD,OH,CINCINNATI,5970 KENWOOD ROAD,2
91,20 EASTER DR,OH,PORTSMOUTH,20 EASTER DRIVE,3
92,3700 STURBRIDGE CT,OH,Hilliard,3700 Sturbridge Ct,2
93,3197 SW BLVD,OH,Grove City,3197 SW Blvd,2
94,4801 E BROAD ST,OH,Columbus,4801 E Broad St,2
95,15100 BIRCHAVEN LN,OH,FINDLAY,15100 BIRCHAVEN LANE,3
96,1615 YAUGER RD,OH,Mount Vernon,1615 Yauger Rd,2
97,3001 MIDDLE URBANA RD,OH,Springfield,3001 Middle Urbana Rd,2
98,5201 MORSE RD,OH,Gahanna,5201 Morse Rd,2
99,1840 TOWNE PARK DR,OH,Troy,1840 Towne Park Dr,2
100,4916 N BEND RD,OH,Cincinnati,4916 N Bend Rd,2
101,3455 NANTUCKET CIR,OH,Loveland,3455 Nantucket Cir,2
102,31 WOODLEE RD,VA,Staunton,31 Woodlee Rd,2
103,1604 GRAVES MILL RD,VA,Lynchburg,1604 Graves Mill Rd,3
104,1203 ROUNDTREE DR,VA,Bedford,1203 Roundtree Dr,2
105,100 KYLE DR,VA,Hiillsville,100 Kyle Dr,2
106,7486 LEE HWY,VA,Radford,7486 Lee Hwy,2
107,224 FISHERSVILLE RD,VA,Fisherville,224 Fishersville Rd.,2
108,3400 S POINT DR,VA,Blacksburg,3400 S Point Dr,2
109,3607 STONE SPRING RD,VA,Harrisonburg,3607 Stone Spring Rd,2
110,200 THE GLEBE BLVD,VA,Daleville,200 The Glebe Blvd,4
111,1009 OLD COUNTRY CLUB RD NW,VA,Roanoke,1009 Old Country Club Rd NW,3
112,379 N MAIN ST,VA,Timberville,379 N. Main St.,2
113,107 MONICA BLVD,VA,Lynchburg,107 Monica Blvd,2
114,1320 ENTERPRISE DR,VA,Lynchburg,1320 Enterprise Dr,2
115,1000 LITTON LN,VA,BLACKSBURG,1000 LITTON LANE,2
116,351 NEW MARKET RD,VA,Timberville,351 New Market Rd,2
117,393 FRONT ST,VA,Lovingston,393 Front St,2
118,1401 VIRGINIA AVE,VA,Harrisonburg,1401 Virginia Ave.,2
