addr_key,glr_facility_name,glr_type,glr_beds,glr_census,glr_patients,glr_cmsccn,glr_status,glr_parent_company,city,state,zip,pc,psych,mh,pod,pain,wc,spec
1 DUCK LN,Fairview FCH,AL,NULL,NULL,3,NULL,Established,Independent,Fletcher,North Carolina,28732,3,0,0,0,0,0,0
10 SUGARLOAF RD,Kingsbridge House,AL,NULL,NULL,25,NULL,Established,ALG,Brevard,North Carolina,28712,24,0,0,0,0,5,24
100 ARH LN,Kissito Alleghany,SNFMD,NULL,NULL,89,495221,Established,Kissito Healthcare,LOW MOOR,Virginia,24457,88,0,0,0,0,39,0
100 BIRNEY PL,Morning Pointe of Danville,AL,80,10,24,NULL,Established,MORNING POINTE SENIOR LIVING,Danville,Kentucky,40422,23,0,0,0,0,1,0
100 CARMEL MANOR RD,Carmel Manor Fort Thomas AL,AL,95,82,10,185208,Established,Carmelite System,Fort Thomas,Kentucky,41075,10,0,0,0,0,2,0
100 CARMEL MANOR RD,Carmel Manor Fort Thomas SNF,SNFMD,95,82,93,185208,Established,Carmelite System,Fort Thomas,Kentucky,41075,82,0,0,0,0,12,0
100 HICKORY ST,Cypress Glen Retirement Community,CRCC,72,70,9,NULL,Established,INDEPENDENT,GREENVILLE,North Carolina,27858,8,0,0,0,0,0,0
100 KYLE DR,COMMONWEALTH-HILLSVILLE ALF,AL,NULL,NULL,51,NULL,Established,MCAP,HIILLSVILLE,Virginia,24343,28,0,0,0,0,4,0
100 LANARK RD,Brookdale Meadowmont,AL/MC,NULL,NULL,31,NULL,Established,BROOKDALE SENIOR LIVING,Chapel Hill,North Carolina,27517,25,0,0,0,0,6,0
100 ROGERS LN,JAG Healthcare Shelby,SNFMD,NULL,NULL,44,365331,Established,JAG,Shelby,Ohio,44875,42,0,0,0,0,13,0
100 RORER RD,Chatham Health and Rehabilitation Center - SNF VA,SNF,NULL,NULL,65,495399,Established,Saber Healthcare Group,CHATHAM,Virginia,24531,56,0,0,0,0,9,0
100 S WHITEWOMAN ST,Roscoe Gardens Skilled Nursing and Rehab,SNF,72,61,33,365880,Established,Citadel Healthcare,Coshocton,Ohio,43812,33,0,0,0,0,0,0
100 SILVER BLUFF DR,Silver Bluff Village-Arrowhead Cove (Village Home,AL,NULL,NULL,12,345341,Established,Liberty,Canton,North Carolina,28716,10,0,0,0,0,0,6
100 SILVER BLUFF DR,Silver Bluff Village-SNF,SNF,NULL,NULL,88,345341,Established,Liberty,Canton,North Carolina,28716,71,0,0,0,0,0,59
100 SPARKS AVE,Nicholasville Nursing and Rehab,SNFMD,73,68,73,185220,Established,Majestic Care,Nicholasville,Kentucky,40356,66,0,0,0,0,24,0
100 SUNSET DR,Franklin Manor,MC,NULL,NULL,40,NULL,Established,SABER HEALTHCARE GROUP,Youngsville,North Carolina,27596,36,0,0,0,0,5,37
100 SUNSET ST,Hickory Falls Health & Rehab,SNF,NULL,NULL,78,345246,Established,SANSTONE,Granite Falls,North Carolina,28630,76,0,0,0,0,0,0
"100 WURTLAND AVE, WURTLAND, KY 41144",Wurtland Nursing and Rehab,SNF,126,110,78,185261,Established,Majestic Care,Wurtland,Kentucky,41144,78,0,0,0,0,0,0
"1000 ADDINGTON DR, RUSSELL, KY 41169",Morning Pointe of Russell,AL,50,40,31,NULL,Established,MORNING POINTE SENIOR LIVING,Russell,Kentucky,41169,24,0,0,0,0,1,0
1000 FAIRVIEW AVE,Woodlands Health and Rehab Center,SNF,NULL,NULL,41,495360,Established,Commonwealth Care of Roanoke,CLIFTON FORGE,Virginia,24422,41,0,0,0,0,0,0
1000 JOHNS RD,Prestwick Village Assisted Living,AL,NULL,NULL,33,NULL,Established,ALG,Laurinburg,North Carolina,28352,32,0,0,0,0,8,0
1000 RIDGECREST LN,RIDGECREST-ALF,AL,NULL,NULL,17,NULL,Established,Legend Senior Living,MOUNT AIRY,North Carolina,27030,6,0,0,0,0,0,0
1000 W ALLEN ST,Gardens of Hendersonville,AL,NULL,NULL,35,NULL,Established,ALG,Hendersonville,North Carolina,28739,32,0,0,0,0,5,34
1000 WESLEY PINES RD,Wesley Pines Retirement Community,AL/SNF MD,62 (+ 42 ALF),101,109,345180,Established,"THE UNITED METHODIST RETIREMENT HOMES, INC",Lumberton,North Carolina,28358,103,27,0,0,0,35,0
1001 MYERS RD,Celina Manor,AL,NULL,NULL,37,365377,Established,HCF,CELINA,Ohio,45822,37,0,0,0,0,0,0
1002 E NC HWY 54,Seasons at Southpoint,MC,NULL,NULL,23,NULL,Established,INDEPENDENT,Durham,North Carolina,27713,18,0,0,0,0,2,0
1002 GLENVIEW DR,Glenview Health and Rehab,SNF,60,54,51,185271,Established,"GLENVIEW HEALTH CARE FACILITY, INC.",Glasgow,Kentucky,42141,49,0,0,0,0,0,0
1002 SISTER BARBARA WAY,The Waters of Georgetown ALF,AL,60,56,1,155770,Established,Priority,Georgetown,Indiana,47122,1,0,0,0,0,0,0
1002 SISTER BARBRA WAY,The Waters of Georgetown SNF,SNF,NULL,NULL,53,155770,Established,INFINITY HEALTHCARE CONSULTING,Georgetown,Indiana,47122,49,0,0,0,0,0,0
1009 OLD COUNTRY CLUB RD NW,Hermitage Roanoke - ALF,AL,NULL,NULL,18,NULL,Established,Goodwin Living,ROANOKE,Virginia,24017,10,0,0,0,0,3,0
