excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,beds,census,data_quality_flag,facility_tags,corporate_tags,all_tags,confidence
4679,CELEBRATION VILLA OF NEWBURGH,PRIORITY LIFE CARE,5311 Rosebud Ln,Newburgh,IN,Corporate,No,89,71,Surrogate_Census,VILLA,,VILLA,MEDIUM
4680,CENTURY VILLA HEALTH,GREENTOWN VOLUNTEER FIRE COMPANY,705 N Meridian St,Greentown,IN,Independent,Yes,97,78,Surrogate_Census,VILLA,,VILLA,MEDIUM
4681,CENTURY VILLA HEALTH CARE,EXCEPTIONAL LIVING CENTERS,705 N Meridian St,Greentown,IN,Corporate,No,84,67,Surrogate_Census,VILLA,,VILLA,MEDIUM
4804,GREENWOOD VILLAGE SOUTH IL,INDEPENDENT,295 Village Ln,Greenwood,IN,Independent,Yes,15,12,"Surrogate_Census, Missing_County",IL_ABBREVIATION,,IL_ABBREVIATION,HIGH
5005,MARQUETTE MANOR IL,LIFECARE,8140 Township Line Rd,Indianapolis,IN,Corporate,Yes,89,71,Surrogate_Census,IL_ABBREVIATION,,IL_ABBREVIATION,HIGH
5188,STORY COTTAGE AT CAREY GROVE,STORY COTTAGE LIVING,13633 Carey Rd,Carmel,IN,Corporate,No,10,8,Surrogate_Census,COTTAGE,COTTAGE,COTTAGE,MEDIUM
5189,STORY COTTAGE BY WILLIAMS CREEK,STORY COTTAGE LIVING,413 E 86Th St,Indianapolis,IN,Corporate,No,8,6,Surrogate_Census,COTTAGE,COTTAGE,COTTAGE,MEDIUM
5190,STORY COTTAGE OF MERIDIAN HILLS,STORY COTTAGE LIVING,7126 Spring Mill Rd,Indianapolis,IN,Corporate,No,8,6,Surrogate_Census,COTTAGE,COTTAGE,COTTAGE,MEDIUM
5191,STORY COTTAGE OF WEST CLAY,STORY COTTAGE LIVING,1840 W Main St,Carmel,IN,Corporate,No,10,8,Surrogate_Census,COTTAGE,COTTAGE,COTTAGE,MEDIUM
5197,SWISS VILLA NURSING AND REHAB,AMERICAN SENIOR COMMUNITIES,1023 W Main St,Vevay,IN,Corporate,Yes,32,26,"Surrogate_Census, Missing_County",VILLA,,VILLA,MEDIUM
5784,CELEBRATION VILLA OF HIGHLAND CROSSING,PRIORITY LIFE CARE,400 Farrell Dr,Fort Wright,KY,Corporate,No,136,109,Surrogate_Census,VILLA,,VILLA,MEDIUM
5785,CELEBRATION VILLA OF SUMMIT HILLS,PRIORITY LIFE CARE,2625 Legends Way,Crestview Hills,KY,Corporate,No,83,66,Surrogate_Census,VILLA,,VILLA,MEDIUM
5904,HEARTLAND VILLA CENTER,BLUEGRASS/ENCORE,8005 US-60,Lewisport,KY,Corporate,Yes,42,34,Surrogate_Census,VILLA,,VILLA,MEDIUM
8916,CENTRAL CONTINUING CARE-SNF/NF,INDEPENDENT,1287 Newsome St,Mount Airy,NC,Independent,Yes,134,107,Surrogate_Census,CCRC,,CCRC,HIGH
9049,CYPRESS GLEN RETIREMENT COMMUNITY MEMORY CARE COTTAGE,"THE UNITED METHODIST RETIREMENT HOMES, INC",100 Hickory St,Greenville,NC,Corporate,No,12,10,Surrogate_Census,COTTAGE,,COTTAGE,MEDIUM
9167,GRAND VILLA ASSISTED LIVING AT WINSTON,INDEPENDENT,2609 Old Salisbury Rd,Winston-Salem,NC,Independent,Yes,49,39,"Surrogate_Census, Check_Bed_Count, Missing_County",VILLA,,VILLA,MEDIUM
9169,GRANDVIEW VILLA ASSISTED LIVING,"GRANDVIEW VILLA ASSISTED LIVING, LLC",2544 Grandview Cir SW,Lenoir,NC,Independent,No,40,32,Surrogate_Census,VILLA,VILLA,VILLA,MEDIUM
9217,HENDERSON'S ASSISTED LIVING,"DOGWOOD VILLAS, INC",74 Lotus Ln,Hendersonville,NC,Independent,No,26,21,Surrogate_Census,,VILLA,VILLA,LOW
9584,RICH SQUARE VILLA,"RV ASSISTED LIVING, LLC",310 N Main St,Rich Square,NC,Corporate,No,38,30,Surrogate_Census,VILLA,,VILLA,MEDIUM
9672,SHULER HEALTH CARE/CRANE VILLA,"STAR CARE NETWORK, INC",250 Pitt St,Kernersville,NC,Corporate,No,12,10,Surrogate_Census,VILLA,,VILLA,MEDIUM
9673,SHULER HEALTH CARE/PHILLIPS VILLA,"STAR CARE NETWORK, INC",250 Pitt St,Kernersville,NC,Corporate,No,12,10,Surrogate_Census,VILLA,,VILLA,MEDIUM
9674,SHULER HEALTH CARE/PIERCE VILLA,"STAR CARE NETWORK, INC",250 Pitt St,Kernersville,NC,Corporate,No,12,10,Surrogate_Census,VILLA,,VILLA,MEDIUM
9675,SHULER HEALTH CARE/RECORD VILLA,"STAR CARE NETWORK, INC",250 Pitt St,Kernersville,NC,Corporate,No,12,10,Surrogate_Census,VILLA,,VILLA,MEDIUM
9676,SHULER HEALTH CARE/STOREY VILLA,"STAR CARE NETWORK, INC",250 Pitt St,Kernersville,NC,Corporate,No,12,10,Surrogate_Census,VILLA,,VILLA,MEDIUM
9696,SPICEWOOD COTTAGES ELMS,"EARL ENTERPRISES, INC",39 Loving Way,Clyde,NC,Corporate,No,17,14,Surrogate_Census,COTTAGE,,COTTAGE,MEDIUM
9697,SPICEWOOD COTTAGES MEADOWS,"EARL ENTERPRISES, INC",59 Loving Way,Clyde,NC,Corporate,No,9,7,Surrogate_Census,COTTAGE,,COTTAGE,MEDIUM
9698,SPICEWOOD COTTAGES OAKS,"EARL ENTERPRISES, INC",67 Loving Way,Clyde,NC,Corporate,No,20,16,Surrogate_Census,COTTAGE,,COTTAGE,MEDIUM
9699,SPICEWOOD COTTAGES WILLOWS,"EARL ENTERPRISES, INC",65 Loving Way,Clyde,NC,Corporate,No,20,16,Surrogate_Census,COTTAGE,,COTTAGE,MEDIUM
9936,TRINITY OAKS CONTINUING CARE RETIREMENT COMMUNITY,"LUTHERAN RETIREMENT CENTER-SALISBURY, INC",728 Klumac Rd,Salisbury,NC,Independent,No,38,30,Surrogate_Census,CCRC,,CCRC,HIGH
10027,WAYNE COUNTY REST VILLA NO. 1,"B & J REST VILLAS, INC",305 Vance St,Fremont,NC,Corporate,No,12,10,Surrogate_Census,VILLA,VILLA,VILLA,MEDIUM
10028,WAYNE COUNTY REST VILLA NO. 2,"B & J REST VILLAS, INC",305 Vance St,Fremont,NC,Corporate,No,12,10,Surrogate_Census,VILLA,VILLA,VILLA,MEDIUM
11815,CCRC I-DOVER APARTMENTS,HOLLAND MANAGEMENT COMPANY,860 Iron Ave,Dover,OH,Corporate,Yes,52,42,"Surrogate_Census, Missing_County",CCRC,,CCRC,HIGH
11816,CCRC I-DOVER NURSING HOME,HOLLAND MANAGEMENT COMPANY,860 Iron Ave,Dover,OH,Corporate,Yes,57,46,Surrogate_Census,CCRC,,CCRC,HIGH
12144,HERITAGE VILLAS,INDEPENDENT,905 Pittsburg Ave NW,North Canton,OH,Independent,No,108,86,Surrogate_Census,VILLA,,VILLA,MEDIUM
12281,LIGHT OF HEARTS VILLA,INDEPENDENT,283 Union St,Bedford,OH,Independent,No,109,87,Surrogate_Census,VILLA,,VILLA,MEDIUM
12620,SAINT BARNABAS VILLA,INDEPENDENT,9234 Olde 8 Rd,Northfield,OH,Independent,No,11,9,Surrogate_Census,VILLA,,VILLA,MEDIUM
12631,SAMARITAN VILLA,INDEPENDENT,809 E Washington St,Medina,OH,Independent,No,26,21,Surrogate_Census,VILLA,,VILLA,MEDIUM
12770,THE COTTAGES OF CLAYTON,INDEPENDENT,8212 N Main St,Dayton,OH,Independent,No,72,58,Surrogate_Beds+Surrogate_Census,COTTAGE,,COTTAGE,MEDIUM
12790,THE GERALDINE SCHOTTENSTEIN COTTAGE,INDEPENDENT,1149 College Ave,Columbus,OH,Independent,No,72,58,Surrogate_Beds+Surrogate_Census,COTTAGE,,COTTAGE,MEDIUM
12859,THE VILLAS AT GLENELLEN,INDEPENDENT,9661 Market St,North Lima,OH,Independent,No,136,109,Surrogate_Census,VILLA,,VILLA,MEDIUM
12946,VILLA AT THE LAKE,INDEPENDENT,48 Parrish Rd,Conneaut,OH,Independent,No,100,80,Surrogate_Census,VILLA,,VILLA,MEDIUM
12956,VILLAS AT SAINT THERESE,INDEPENDENT,25 Noe Bixby Rd,Columbus,OH,Independent,No,50,40,Surrogate_Census,VILLA,,VILLA,MEDIUM
12964,VITALIA ACTIVE ADULT COMMUNITY AT MONTROSE,INDEPENDENT,4041 Heritage Center Dr,Copley,OH,Independent,No,59,47,Surrogate_Census,"ACTIVE_ADULT, ADULT_COMMUNITY",,"ACTIVE_ADULT, ADULT_COMMUNITY",HIGH
12965,VITALIA ACTIVE ADULT COMMUNITY AT NORTH OLMSTED,INDEPENDENT,29801 Lorain Rd,North Olmsted,OH,Independent,No,72,58,Surrogate_Beds+Surrogate_Census,"ACTIVE_ADULT, ADULT_COMMUNITY",,"ACTIVE_ADULT, ADULT_COMMUNITY",HIGH
12966,VITALIA ACTIVE ADULT COMMUNITY AT ROCKSIDE,INDEPENDENT,6100 Lombardo Ctr S,Seven Hills,OH,Independent,No,79,63,Surrogate_Census,"ACTIVE_ADULT, ADULT_COMMUNITY",,"ACTIVE_ADULT, ADULT_COMMUNITY",HIGH
