excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,db_beds,db_census,nic_operator,nic_owner,nic_ccn,nic_profit_status,nc_units,al_units,mc_units,il_units,aa_units,total_units,classification,tags,detail
4478,1019 BELLE'S OF WABASH,EBY FAMILY,3037 W Division Rd,Wabash,IN,Independent,Yes,15,12,Bickford Senior Living,Wabash Senior LLC,,Unknown,0,0,33,0,0,33,FLAGGED,PROPCO_SPLIT,"Operator=Bickford Senior Living, Owner=Wabash Senior LLC"
4479,1019 BELLES PLACE - BEDFORD,1019 HEALTHCARE,7102 In-158,Bedford,IN,Independent,Yes,19,15,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
4519,ADAMS WOODCREST OF DECATUR,ADAMS MEMORIAL HOSPITAL,1300 Mercer Ave,Decatur,IN,Independent,No,56,45,Adams Health Network,Adams County Memorial Hospital,155747,Unknown,143,0,0,25,0,168,PHANTOM,"PHANTOM_NC_ONLY, ADDR_MATCHES_DB_SNF, PROPCO_SPLIT, IL_MIXED","NC=143, AL=0, MC=0 — nursing-only building | Same address as SNF: WOODCREST OF DECATUR | Operator=Adams Health Network, Owner=Adams County Memorial Hospital | IL=25 (15% of total) with other unit types"
4520,ADDISON POINTE HEALTH & REHAB CENTER,TLC MANAGEMENT,780 Dickinson Rd,Chesterton,IN,Corporate,Yes,42,34,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: ADDISON POINTE HEALTH & REHABILITATION CENTER
4521,ALBANY HEALTH AND REHABILITATION,TLC MANAGEMENT,910 W Walnut St,Albany,IN,Corporate,Yes,85,68,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: ALBANY HEALTH CARE & REHABILITATION CENTER
4522,ALLISONVILLE MEADOWS ASSISTED LIVING,AMERICAN SENIOR COMMUNITIES,10420 Allisonville Rd,Fishers,IN,Corporate,No,150,120,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
4523,ALTENHEIM HEALTH & LIVING COMMUNITY,CARDON & ASSOCIATES,3525 E Hanna Ave,Indianapolis,IN,Corporate,No,104,83,CarDon and Associates Inc.,Altenheim H & L Property LLC,155196,Not For Profit,87,40,27,12,0,166,CO_LOCATED,"CO_LOCATED, ADDR_MATCHES_DB_SNF, PROPCO_SPLIT, IL_MIXED","NC=87 + AL=40 + MC=27 — campus/CCRC | Same address as SNF: ALTENHEIM HEALTH & LIVING COMMUNITY | Operator=CarDon and Associates Inc., Owner=Altenheim H & L Property LLC | IL=12 (7% of total) with other unit types"
4524,AMBER MANOR CARE CENTER,TRILOGY HEALTH SERVICES,801 E Illinois St,Petersburg,IN,Corporate,No,19,15,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: AMBER MANOR CARE CENTER
4525,AMERICAN VILLAGE,AMERICAN SENIOR COMMUNITIES,2026 E 54Th St,Indianapolis,IN,Corporate,Yes,34,27,American Senior Communities,American Village Commons LLC,155292,Not For Profit,150,51,24,102,0,327,CO_LOCATED,"CO_LOCATED, ADDR_MATCHES_DB_SNF, IL_MIXED",NC=150 + AL=51 + MC=24 — campus/CCRC | Same address as SNF: AMERICAN VILLAGE | IL=102 (31% of total) with other unit types
4526,AMERICAN VILLAGE,AMERICAN SENIOR COMMUNITIES,2026 E 54Th St,Indianapolis,IN,Corporate,No,79,63,American Senior Communities,American Village Commons LLC,155292,Not For Profit,150,51,24,102,0,327,CO_LOCATED,"CO_LOCATED, ADDR_MATCHES_DB_SNF, IL_MIXED",NC=150 + AL=51 + MC=24 — campus/CCRC | Same address as SNF: AMERICAN VILLAGE | IL=102 (31% of total) with other unit types
4527,APERION CARE DEMOTTE,APERION CARE,10352 N 600 E County Line Rd,Demotte,IN,Corporate,No,16,13,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: APERION CARE DEMOTTE
4528,APERION CARE HANOVER,APERION CARE,410 W Lagrange Rd,Hanover,IN,Corporate,No,12,10,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: APERION CARE HANOVER
4529,APERION CARE HANOVER ALF,CHOSEN,410 W Lagrange Rd,Hanover,IN,Corporate,Yes,7,6,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: APERION CARE HANOVER
4530,APERION CARE HANOVER SNF,CHOSEN,410 W Lagrange Rd,Hanover,IN,Corporate,Yes,74,59,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: APERION CARE HANOVER
4531,APERION CARE MARION,APERION CARE,614 W 14Th St,Marion,IN,Corporate,No,37,30,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: APERION CARE MARION LLC
4532,APERION CARE OF GREENFIELD,APERION,5430 W US Hwy 40,Greenfield,IN,Independent,Yes,56,45,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
4533,APERION ESTATES PERU,APERION CARE,1200 Kitty Hawk Dr,Peru,IN,Corporate,No,76,61,"Aperion Care, Inc.",1200 Kitty Hawk LLC,,Unknown,0,76,0,0,0,76,FLAGGED,PROPCO_SPLIT,"Operator=Aperion Care, Inc., Owner=1200 Kitty Hawk LLC"
4534,ARBOR TRACE HEALTH & LIVING COMMUNITY,CARDON & ASSOCIATES,3701 Hodgin Rd,Richmond,IN,Corporate,No,60,48,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: ARBOR TRACE HEALTH & LIVING COMMUNITY
4535,ARLINGTON PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,1635 N Arlington Ave,Indianapolis,IN,Corporate,No,26,21,Trilogy Health Services,Ms Arlington LLC,155816,For Profit,84,16,0,0,0,100,CO_LOCATED,"CO_LOCATED, ADDR_MATCHES_DB_SNF",NC=84 + AL=16 + MC=0 — campus/CCRC | Same address as SNF: ARLINGTON PLACE HEALTH CAMPUS
4536,ASHFORD PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,2200 N Riley Hwy,Shelbyville,IN,Corporate,No,40,32,Trilogy Health Services,Trilogy Healthcare Of Shelbyville LLC LLC,155735,For Profit,59,21,11,19,0,110,CO_LOCATED,"CO_LOCATED, ADDR_MATCHES_DB_SNF, IL_MIXED",NC=59 + AL=21 + MC=11 — campus/CCRC | Same address as SNF: ASHFORD PLACE HEALTH CAMPUS | IL=19 (17% of total) with other unit types
4537,ASHTON CREEK HEALTH & REHAB CENTER,TLC MANAGEMENT,4111 Park Pl Dr,Fort Wayne,IN,Corporate,Yes,96,77,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
4538,ASPEN PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,2320 N Montgomery Rd,Greensburg,IN,Corporate,No,39,31,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: ASPEN PLACE HEALTH CAMPUS
4539,ASPEN PLACE HEALTH CAMPUS ALF,TRILOGY HEALTH SERVICES,2320 N Montgomery Rd,Greensburg,IN,Corporate,Yes,26,21,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: ASPEN PLACE HEALTH CAMPUS
4540,ASPEN PLACE HEALTH CAMPUS SNF,TRILOGY HEALTH SERVICES,2320 N Montgomery Rd,Greensburg,IN,Corporate,Yes,37,30,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: ASPEN PLACE HEALTH CAMPUS
4541,ASPEN TRACE HEALTH AND LIVING COMMUNITY,CARDON & ASSOCIATES,3154 S State Rd 135,Greenwood,IN,Corporate,No,134,107,CarDon and Associates Inc.,Aspen Trace Property LLC,155821,For Profit,104,67,26,0,0,197,CO_LOCATED,"CO_LOCATED, ADDR_MATCHES_DB_SNF, PROPCO_SPLIT","NC=104 + AL=67 + MC=26 — campus/CCRC | Same address as SNF: ASPEN TRACE HEALTH & LIVING COMMUNITY | Operator=CarDon and Associates Inc., Owner=Aspen Trace Property LLC"
4542,ASTER PLACE,AMERICAN SENIOR COMMUNITIES,741 Park E Blvd,Lafayette,IN,Corporate,No,131,105,American Senior Communities,Residential Care XIII LLC,,Unknown,0,147,0,34,0,181,FLAGGED,IL_MIXED,IL=34 (19% of total) with other unit types
4543,ASTRAL AT FRANKLIN,INDEPENDENT,1375 Nicole Dr,Franklin,IN,Independent,Yes,29,23,Franciscan Advisory Services,State Of Indiana,,For Profit,0,39,29,51,0,119,FLAGGED,"PROPCO_SPLIT, IL_MIXED","Operator=Franciscan Advisory Services, Owner=State Of Indiana | IL=51 (43% of total) with other unit types"
4544,AUBURN VILLAGE,GENERATIONS,1751 Wesley Rd,Auburn,IN,Independent,Yes,85,68,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: AUBURN VILLAGE
4545,AUTUMN RIDGE REHABILITATION CENTRE,AMERICAN SENIOR COMMUNITIES,600 Washington Rd,Wabash,IN,Corporate,Yes,42,34,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
4546,AVALON SENIOR LIVING,TRIPLE CROWN SENIOR LIVING,6021 S Arlington Ave,Indianapolis,IN,Corporate,No,131,105,Vitality Senior Services,Avalon Senior Living LLC,,For Profit,0,115,16,0,0,131,FLAGGED,PROPCO_SPLIT,"Operator=Vitality Senior Services, Owner=Avalon Senior Living LLC"
4547,AVALON SPRINGS HEALTH CAMPUS,TRILOGY HEALTH SERVICES,2400 Silhavy Rd,Valparaiso,IN,Corporate,No,75,60,Trilogy Health Services,Trilogy Real Estate Of Porter LLC,155795,For Profit,60,40,33,0,0,133,CO_LOCATED,"CO_LOCATED, ADDR_MATCHES_DB_SNF",NC=60 + AL=40 + MC=33 — campus/CCRC | Same address as SNF: AVALON SPRINGS HEALTH CAMPUS
4548,AVON HEALTH AND REHABILITATION CENTER,TLC MANAGEMENT,4171 Forest Pointe Cir,Avon,IN,Corporate,No,52,42,TLC Management,Wesleyan Retirement Center Inc,155236,For Profit,127,26,0,8,0,161,CO_LOCATED,"CO_LOCATED, IL_MIXED",NC=127 + AL=26 + MC=0 — campus/CCRC | IL=8 (5% of total) with other unit types
