alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,match_type,snf_excel_row,snf_facility,snf_corporate,snf_beds,cms_provider,cms_beds,cms_chain
19140,MASONIC VILLAGE AT SEWICKLEY,THE MASONIC TEMPLE & OTHER REAL ESTATE OF THE GRAND LODGE,1000 Masonic Dr,Sewickley,PA,470,376,Independent,No,BOTH,13825,MASONIC VILLAGE AT SEWICKLEY,,128,MASONIC VILLAGE AT SEWICKLEY,128.0,
10032,WESLEY PINES RETIREMENT COMMUNITY,"THE UNITED METHODIST RETIREMENT HOMES, INC",1000 Wesley Pines Rd,Lumberton,NC,117,94,Corporate,Yes,BOTH,20792,WESLEY PINES,METHODIST RETIREMENT HOMES INC,88,WESLEY PINES RETIREMENT COMM,62.0,LIFE CARE SERVICES
18944,LANDIS HOMES,LANDIS HOMES RETIREMENT COMMUNITY,1001 E Oregon Rd,Lititz,PA,784,627,Independent,No,BOTH,13774,LANDIS HOMES,,103,LANDIS HOMES,103.0,
11919,CELINA MANOR,HCF MANAGEMENT,1001 Myers Rd,Celina,OH,36,29,Corporate,Yes,BOTH,17930,CELINA MANOR,H C F REALTY OF CELINA INC,97,CELINA MANOR,75.0,HCF MANAGEMENT
4617,BRICKYARD HEALTHCARE - ELKHART,BRICKYARD,1001 W. Hively Ave,Elkhart,IN,117,94,Corporate,Yes,BOTH,4570,BRICKYARD HEALTHCARE - ELKHART CARE CENTER,BRICKYARD HEALTHCARE,175,BRICKYARD HEALTHCARE - ELKHART CARE CENTER,175.0,BRICKYARD HEALTHCARE
5872,GLENVIEW HEALTH AND REHAB,"GLENVIEW HEALTH CARE FACILITY, INC","1002 Glenview Dr,",Glasgow,KY,49,39,Independent,Yes,BOTH,5859,GLENVIEW HEALTH AND REHABILITATION,SIMCHA HYMAN & NAFTALI ZANZIPER,60,GLENVIEW HEALTH AND REHABILITATION,60.0,SIMCHA HYMAN & NAFTALI ZANZIPER
5353,WATERS OF GEORGETOWN,INFINITY HEALTHCARE CONSULTING,1002 Sister Barbara Way,Georgetown,IN,10,8,Corporate,No,BOTH,5287,"WATERS OF GEORGETOWN, THE",INFINITY HEALTHCARE CONSULTING,68,"WATERS OF GEORGETOWN, THE",68.0,INFINITY HEALTHCARE CONSULTING
18919,LAKE PRINCE WOODS,LAKE PRINCE CENTER INC,100 Anna Goode Way,Suffolk,VA,289,231,Independent,No,BOTH,16359,"LAKE PRINCE WOODS, INC",EVERYAGE SENIOR LIVING,40,"LAKE PRINCE WOODS, INC",40.0,EVERYAGE SENIOR LIVING
5775,CARMEL MANOR FORT THOMAS AL,CARMELITE SYSTEM,"100 Carmel Manor Rd,",Fort Thomas,KY,11,9,Corporate,Yes,BOTH,5748,CARMEL MANOR,,95,CARMEL MANOR,95.0,
5776,CARMEL MANOR FORT THOMAS SNF,CARMELITE SYSTEM,"100 Carmel Manor Rd,",Fort Thomas,KY,87,70,Corporate,Yes,BOTH,5748,CARMEL MANOR,,95,CARMEL MANOR,95.0,
16556,THE COLONNADES,INDEPENDENT,100 Colonnades Hill Dr,Charlottesville,VA,72,58,Independent,No,BOTH,16226,COLONNADES HEALTH CARE CENTER,SUNRISE,34,COLONNADES HEALTH CARE CENTER,34.0,SUNRISE SENIOR LIVING
