alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,confidence,snf_excel_row,snf_facility,snf_corporate,snf_beds,snf_census,cms_provider,cms_beds,cms_chain,cms_chain_id
4519,ADAMS WOODCREST OF DECATUR,ADAMS MEMORIAL HOSPITAL,1300 Mercer Ave,Decatur,IN,56,45,Independent,No,HIGH,20893,WOODCREST OF DECATUR,ADAMS COUNTY MEMORIAL HOSPITAL,168,134,ADAMS WOODCREST,143.0,,
4520,ADDISON POINTE HEALTH & REHAB CENTER,TLC MANAGEMENT,780 Dickinson Rd,Chesterton,IN,42,34,Corporate,Yes,HIGH,4482,ADDISON POINTE HEALTH & REHABILITATION CENTER,TLC MANAGEMENT,100,90.7,ADDISON POINTE HEALTH & REHABILITATION CENTER,100.0,TLC MANAGEMENT,520.0
4521,ALBANY HEALTH AND REHABILITATION,TLC MANAGEMENT,910 W Walnut St,Albany,IN,85,68,Corporate,Yes,HIGH,4483,ALBANY HEALTH CARE & REHABILITATION CENTER,TLC MANAGEMENT,102,81.1,ALBANY HEALTH CARE & REHABILITATION CENTER,102.0,TLC MANAGEMENT,520.0
4523,ALTENHEIM HEALTH & LIVING COMMUNITY,CARDON & ASSOCIATES,3525 E Hanna Ave,Indianapolis,IN,104,83,Corporate,No,HIGH,4488,ALTENHEIM HEALTH & LIVING COMMUNITY,CARDON & ASSOCIATES,87,80.2,ALTENHEIM HEALTH & LIVING COMMUNITY,87.0,CARDON & ASSOCIATES,105.0
4524,AMBER MANOR CARE CENTER,TRILOGY HEALTH SERVICES,801 E Illinois St,Petersburg,IN,19,15,Corporate,No,HIGH,4490,AMBER MANOR CARE CENTER,TRILOGY HEALTH SERVICES,64,51,AMBER MANOR CARE CENTER,64.0,TRILOGY HEALTH SERVICES,524.0
4525,AMERICAN VILLAGE,AMERICAN SENIOR COMMUNITIES,2026 E 54Th St,Indianapolis,IN,34,27,Corporate,Yes,HIGH,4491,AMERICAN VILLAGE,AMERICAN SENIOR COMMUNITIES,150,128.7,AMERICAN VILLAGE,150.0,AMERICAN SENIOR COMMUNITIES,33.0
4526,AMERICAN VILLAGE,AMERICAN SENIOR COMMUNITIES,2026 E 54Th St,Indianapolis,IN,79,63,Corporate,No,HIGH,4491,AMERICAN VILLAGE,AMERICAN SENIOR COMMUNITIES,150,128.7,AMERICAN VILLAGE,150.0,AMERICAN SENIOR COMMUNITIES,33.0
4527,APERION CARE DEMOTTE,APERION CARE,10352 N 600 E County Line Rd,Demotte,IN,16,13,Corporate,No,HIGH,4493,APERION CARE DEMOTTE,APERION CARE,93,85.4,APERION CARE DEMOTTE,93.0,APERION CARE,38.0
4528,APERION CARE HANOVER,APERION CARE,410 W Lagrange Rd,Hanover,IN,12,10,Corporate,No,HIGH,4495,APERION CARE HANOVER,APERION CARE,125,74.4,APERION CARE HANOVER,125.0,APERION CARE,38.0
4529,APERION CARE HANOVER ALF,CHOSEN,410 W Lagrange Rd,Hanover,IN,7,6,Corporate,Yes,HIGH,4495,APERION CARE HANOVER,APERION CARE,125,74.4,APERION CARE HANOVER,125.0,APERION CARE,38.0
4530,APERION CARE HANOVER SNF,CHOSEN,410 W Lagrange Rd,Hanover,IN,74,59,Corporate,Yes,HIGH,4495,APERION CARE HANOVER,APERION CARE,125,74.4,APERION CARE HANOVER,125.0,APERION CARE,38.0
4531,APERION CARE MARION,APERION CARE,614 W 14Th St,Marion,IN,37,30,Corporate,No,HIGH,4498,APERION CARE MARION LLC,APERION CARE,70,60.7,APERION CARE MARION LLC,70.0,APERION CARE,38.0
4534,ARBOR TRACE HEALTH & LIVING COMMUNITY,CARDON & ASSOCIATES,3701 Hodgin Rd,Richmond,IN,60,48,Corporate,No,HIGH,4505,ARBOR TRACE HEALTH & LIVING COMMUNITY,CARDON & ASSOCIATES,101,97.5,ARBOR TRACE HEALTH & LIVING COMMUNITY,101.0,CARDON & ASSOCIATES,105.0
4535,ARLINGTON PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,1635 N Arlington Ave,Indianapolis,IN,26,21,Corporate,No,HIGH,4506,ARLINGTON PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,84,62,ARLINGTON PLACE HEALTH CAMPUS,84.0,TRILOGY HEALTH SERVICES,524.0
4536,ASHFORD PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,2200 N Riley Hwy,Shelbyville,IN,40,32,Corporate,No,HIGH,4509,ASHFORD PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,68,48.8,ASHFORD PLACE HEALTH CAMPUS,68.0,TRILOGY HEALTH SERVICES,524.0
4538,ASPEN PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,2320 N Montgomery Rd,Greensburg,IN,39,31,Corporate,No,HIGH,4511,ASPEN PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,64,46.6,ASPEN PLACE HEALTH CAMPUS,64.0,TRILOGY HEALTH SERVICES,524.0
4539,ASPEN PLACE HEALTH CAMPUS ALF,TRILOGY HEALTH SERVICES,2320 N Montgomery Rd,Greensburg,IN,26,21,Corporate,Yes,HIGH,4511,ASPEN PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,64,46.6,ASPEN PLACE HEALTH CAMPUS,64.0,TRILOGY HEALTH SERVICES,524.0
