excel_row,facility,corporate_name,address,city,state,source_type,ownership_type,do_we_serve,beds,census,pattern_tags
127,GALLERIA WOODS SKILLED NURSING FACILITY,"HEALTHPEAK PROPERTIES, INC.",3850 GALLERIA WOODS DRIVE,BIRMINGHAM,AL,SNF,Corporate,No,30,26,PROPERTIES
280,COTTAGE LANE HEALTH AND REHAB OF LITTLE ROCK,BIG ROCK SNF HOLDINGS,800 BROOKSIDE DRIVE,LITTLE ROCK,AR,SNF,Corporate,No,143,84.8,HOLDINGS
296,DIERKS HEALTH AND REHAB OF DIERKS,BIG ROCK SNF HOLDINGS,402 S ARKANSAS AVENUE,DIERKS,AR,SNF,Corporate,No,70,57.7,HOLDINGS
345,NASHVILLE NURSING AND REHAB SERVICES OF ARKANSAS,BIG ROCK SNF HOLDINGS,810 NORTH 8TH ST,NASHVILLE,AR,SNF,Corporate,No,70,42.5,HOLDINGS
405,THE BLOSSOMS AT PRESCOTT REHAB & NURSING CENTER,BIG ROCK SNF HOLDINGS,700 MANOR RD,PRESCOTT,AR,SNF,Corporate,No,45,36,HOLDINGS
408,THE BLOSSOMS AT STAR CITY REHAB & NURSING CENTER,BIG ROCK SNF HOLDINGS,702 N DREW ST,STAR CITY,AR,SNF,Corporate,No,95,76.2,HOLDINGS
445,THE SPRINGS OF RED OAK,BIG ROCK SNF HOLDINGS,260 LAKEPARK DRIVE,HOT SPRINGS,AR,SNF,Corporate,No,80,58.7,HOLDINGS
447,THE SPRINGS OF WALDRON,BIG ROCK SNF HOLDINGS,1369 WEST 6TH STREET,WALDRON,AR,SNF,Corporate,No,75,70.8,HOLDINGS
457,VILLAGE SPRINGS HEALTH AND REHAB OF HOT SPRINGS,BIG ROCK SNF HOLDINGS,1208 NORTH HIGHWAY 7,HOT SPRINGS,AR,SNF,Corporate,No,101,97.2,HOLDINGS
725,BOULDER CREEK POST ACUTE,MADISON CREEK PARTNERS,12696 MONTE VISTA ROAD,POWAY,CA,SNF,Corporate,No,149,137.7,PARTNERS
772,CASA COLOMA HEALTH CARE CENTER,"BVHC, LLC",10410 COLOMA RD,RANCHO CORDOVA,CA,SNF,Corporate,No,138,130,SHORT_LLC
780,CEDAR MOUNTAIN POST ACUTE,MADISON CREEK PARTNERS,11970 4TH STREET,YUCAIPA,CA,SNF,Corporate,No,99,93.1,PARTNERS
843,COUNTRY MANOR HEALTHCARE,CHARIS TRUST DTD 12/22/16,11723 FENTON AVENUE,LAKE VIEW TERRACE,CA,SNF,Corporate,No,99,89.9,TRUST
883,"DESERT CANYON POST ACUTE, LLC","ABBY GL, LLC",1642 WEST AVENUE J,LANCASTER,CA,SNF,Corporate,No,99,88.2,SHORT_LLC
892,DINUBA HEALTHCARE,MADISON CREEK PARTNERS,1730 SOUTH COLLEGE AVE,DINUBA,CA,SNF,Corporate,No,97,89.9,PARTNERS
893,DOUBLE TREE POST ACUTE CARE CENTER,"BVHC, LLC",7400 24TH STREET,SACRAMENTO,CA,SNF,Corporate,No,122,106.9,SHORT_LLC
938,FOREST HILL MANOR HEALTH CENTER,"BVHC, LLC",551 GIBSON AVENUE,PACIFIC GROVE,CA,SNF,Corporate,No,26,23.4,SHORT_LLC
952,"FULTON GARDENS POST ACUTE, LLC","ABBY GL, LLC",537 E FULTON STREET,STOCKTON,CA,SNF,Corporate,No,116,106.5,SHORT_LLC
1019,HARBOR POST ACUTE CARE CENTER,CHARIS TRUST DTD 12/22/16,21521 S VERMONT AVENUE,TORRANCE,CA,SNF,Corporate,No,127,113,TRUST
1023,HAVEN POST ACUTE,"BVHC, LLC",1311 EAST DATE STREET,SAN BERNARDINO,CA,SNF,Corporate,No,99,94.2,SHORT_LLC
1035,HEARTWOOD AVENUE HEALTHCARE,"BVHC, LLC",1044 HEARTWOOD AVE,VALLEJO,CA,SNF,Corporate,No,60,53.6,SHORT_LLC
1043,HERITAGE REHABILITATION CENTER,CHARIS TRUST DTD 12/22/16,21414 S VERMONT AVENUE,TORRANCE,CA,SNF,Corporate,No,161,135.4,TRUST
1087,KATHERINE HEALTHCARE,"BVHC, LLC",315 ALAMEDA AVENUE,SALINAS,CA,SNF,Corporate,No,51,42.8,SHORT_LLC
1161,MADISON GROVE POST ACUTE,MADISON CREEK PARTNERS,1618 LAUREL AVENUE,REDLANDS,CA,SNF,Corporate,No,243,230.8,PARTNERS
1300,PACIFIC GROVE HEALTHCARE CENTER,"BVHC, LLC",200 LIGHTHOUSE AVENUE,PACIFIC GROVE,CA,SNF,Corporate,No,51,47.8,SHORT_LLC
1331,PARKWAY HILLS NURSING & REHABILITATION,MADISON CREEK PARTNERS,7760 PARKWAY DRIVE,LA MESA,CA,SNF,Corporate,No,60,55.3,PARTNERS
1394,RIVER BEND NURSING CENTER,"BVHC, LLC",2215 OAKMONT WAY,WEST SACRAMENTO,CA,SNF,Corporate,No,99,92,SHORT_LLC
1404,RIVERSIDE VILLAGE HEALTHCARE CENTER,"BVHC, LLC",17040 ARNOLD DR,RIVERSIDE,CA,SNF,Corporate,No,59,56.4,SHORT_LLC
1437,SAN JACINTO VALLEY POST ACUTE,CHARIS TRUST DTD 12/22/16,275 NORTH SAN JACINTO STREET,HEMET,CA,SNF,Corporate,No,99,93.3,TRUST
1490,SIERRA VALLEY REHAB CENTER,CHARIS TRUST DTD 12/22/16,301 WEST PUTNAM,PORTERVILLE,CA,SNF,Corporate,No,139,121.7,TRUST
1500,SOCAL POST-ACUTE CARE,"BVHC, LLC",7931 S SORENSON AVE,WHITTIER,CA,SNF,Corporate,No,59,56.3,SHORT_LLC
1514,SPRINGS ROAD HEALTHCARE,"BVHC, LLC",1527 SPRINGS ROAD,VALLEJO,CA,SNF,Corporate,No,65,60.3,SHORT_LLC
1515,ST ANDREWS,CHARIS TRUST DTD 12/22/16,2300 W WASHINGTON BLVD,LOS ANGELES,CA,SNF,Corporate,No,59,53.4,TRUST
1565,"THE CARE CENTER ON HAZELTINE, LLC","ABBY GL, LLC",6835 HAZELTINE AVE,VAN NUYS,CA,SNF,Corporate,No,58,52,SHORT_LLC
1569,THE ELLISON JOHN TRANSITIONAL CARE CENTER,"ABBY GL, LLC",43830 10TH STREET WEST,LANCASTER,CA,SNF,Corporate,No,170,151.9,SHORT_LLC
1570,THE GARDENS HEALTHCARE CENTER,"HEALTHPEAK PROPERTIES, INC.",17650 DEVONSHIRE STREET,NORTHRIDGE,CA,SNF,Corporate,No,45,44.4,PROPERTIES
1583,THE PAVILION AT SUNNY HILLS,"ABBY GL, LLC",2222 N HARBOR BLVD,FULLERTON,CA,SNF,Corporate,No,300,187.9,SHORT_LLC
1610,"THOUSAND OAKS POST ACUTE, LLC","ABBY GL, LLC",93 WEST AVENIDA DE LOS ARBOLES,THOUSAND OAKS,CA,SNF,Corporate,No,123,106,SHORT_LLC
1700,VISTA POST ACUTE,"BVHC, LLC",3269 D STREET,HAYWARD,CA,SNF,Corporate,No,71,67.1,SHORT_LLC
1701,VISTA REAL POST ACUTE,CHARIS TRUST DTD 12/22/16,1665 EAST EIGHTH STREET,BEAUMONT,CA,SNF,Corporate,No,57,54.3,TRUST
1779,BEAR CREEK SENIOR LIVING,S-H FORTY-NINE OPCO VENTURES,1685 S 21ST ST,COLORADO SPRINGS,CO,SNF,Corporate,No,45,40,OPCO
1843,"GARDENS, THE",MADISON CREEK PARTNERS,104 LOIS LN,COLORADO SPRINGS,CO,SNF,Corporate,No,45,41,PARTNERS
1844,GLENWOOD SPRINGS HEALTHCARE,MADISON CREEK PARTNERS,2305 BLAKE AVE,GLENWOOD SPRINGS,CO,SNF,Corporate,No,54,38.5,PARTNERS
1877,LAKEWOOD VILLA,MADISON CREEK PARTNERS,1625 SIMMS ST,LAKEWOOD,CO,SNF,Corporate,No,57,43.6,PARTNERS
1905,PAONIA CARE AND REHABILITATION CENTER,MADISON CREEK PARTNERS,1625 MEADOWBROOK BLVD,PAONIA,CO,SNF,Corporate,No,60,39.8,PARTNERS
1914,PIONEER HEALTH CARE CENTER,MADISON CREEK PARTNERS,900 S 12TH ST,ROCKY FORD,CO,SNF,Corporate,No,101,77.5,PARTNERS
1936,SILVER HEIGHTS SKILLED NURSING AND REHABILITATION,MADISON CREEK PARTNERS,4001 HOME ST,CASTLE ROCK,CO,SNF,Corporate,No,91,57.7,PARTNERS
1951,SUNDANCE SKILLED NURSING AND REHABILITATION,MADISON CREEK PARTNERS,2612 W CUCHARRAS ST,COLORADO SPRINGS,CO,SNF,Corporate,No,68,58.8,PARTNERS
2237,ADVANCED CARE CENTER,GOLD FL TRUST II,401 FAIRWOOD AVE,CLEARWATER,FL,SNF,Corporate,No,120,113.9,TRUST
2241,ALHAMBRA HEALTHCARE & REHABILITATION CENTER,GOLD FL TRUST II,7501 38TH AVE N,SAINT PETERSBURG,FL,SNF,Corporate,No,60,58.4,TRUST
2248,APOLLO HEALTHCARE & REHABILITATION CENTER,GOLD FL TRUST II,1000 24TH ST N,SAINT PETERSBURG,FL,SNF,Corporate,No,99,91.2,TRUST
2252,ARBOR TRAIL REHAB AND SKILLED NURSING CENTER,SOVEREIGN HEALTHCARE HOLDINGS,611 TURNER CAMP RD,INVERNESS,FL,SNF,Corporate,No,116,110.8,HOLDINGS
2273,ATLANTIC SHORES NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,4251 STACK BLVD,MELBOURNE,FL,SNF,Corporate,No,120,113.3,HOLDINGS
2334,BAYSHORE POINTE NURSING AND REHAB CENTER,SOVEREIGN HEALTHCARE HOLDINGS,3117 W GANDY BLVD,TAMPA,FL,SNF,Corporate,No,117,105,HOLDINGS
2335,BAYSIDE CARE CENTER,GOLD FL TRUST II,811 JACKSON ST N,SAINT PETERSBURG,FL,SNF,Corporate,No,92,85.7,TRUST
