Punchlist,Excel_Row,Facility,City,State,Field,Current,New
#21,11447,BROOKDALE ALLIANCE,Alliance,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11451,BROOKDALE BEAVERCREEK,Dayton,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11454,BROOKDALE CAMELOT MEDINA,Medina,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11456,BROOKDALE CENTENNIAL PARK,Englewood,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11461,BROOKDALE GREENVILLE,Greenville,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11464,BROOKDALE LAKEVIEW CROSSING,Groveport,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11473,BROOKDALE SPRINGDALE ASSISTED LIVING,Springdale,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11474,BROOKDALE SPRINGDALE MEMORY CARE,Springdale,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#21,11475,BROOKDALE TRILLIUM CROSSING,Columbus,OH,Corporate_Name,INDEPENDENT,BROOKDALE SENIOR LIVING
#27,5652,BOYD NURSING AND REHABILITATION,ASHLAND,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5675,BOYD COUNTY NURSING AND REHABILITATION,Ashland,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5687,CARTER NURSING AND REHABILITATION,GRAYSON,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5765,ELLIOTT NURSING AND REHABILITATION,SANDY HOOK,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5770,ELLIOTT NURSING AND REHABILITATION,Sandy Hook,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5801,GREENVILLE NURSING AND REHABILITATION,GREENVILLE,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5812,GREENVILLE NURSING AND REHABILITATION,Greenville,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5827,HIGHLANDS NURSING AND REHABILITATION,LOUISVILLE,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5943,NICHOLASVILLE NURSING AND REHABILITATION,NICHOLASVILLE,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,5944,NICHOLASVILLE NURSING AND REHAB,Nicholasville,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,6011,SENECA PLACE,LOUISVILLE,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,6037,SOUTH SHORE NURSING AND REHABILITATION,SOUTH SHORE,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,6054,SENECA PLACE,Louisville,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,6142,WEST LIBERTY NURSING AND REHABILITATION,WEST LIBERTY,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,6150,WURTLAND NURSING AND REHABILITATION,WURTLAND,KY,Corporate_Name,DAVID MARX,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,6153,WELLINGTON PARC OF OWENSBORO,Owensboro,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,6162,WURTLAND NURSING AND REHAB,Wurtland,KY,Corporate_Name,MAJESTIC CARE,MAJESTIC / BLUEGRASS CONSULTING GROUP
#27,4911,MAJESTIC CARE OF AVON,AVON,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4912,MAJESTIC CARE OF BEDFORD,BEDFORD,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4913,MAJESTIC CARE OF BLOOMINGTON,BLOOMINGTON,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4914,MAJESTIC CARE OF CARMEL,CARMEL,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4915,MAJESTIC CARE OF CONNERSVILLE,CONNERSVILLE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4916,MAJESTIC CARE OF DEMING PARK,TERRE HAUTE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4917,MAJESTIC CARE OF FORT WAYNE,FORT WAYNE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4918,MAJESTIC CARE OF GOSHEN,GOSHEN,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4919,MAJESTIC CARE OF JEFFERSON POINTE,FORT WAYNE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4920,MAJESTIC CARE OF LAFAYETTE,LAFAYETTE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4921,MAJESTIC CARE OF MCCORDSVILLE,MCCORDSVILLE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4922,MAJESTIC CARE OF NEW HAVEN,NEW HAVEN,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4923,MAJESTIC CARE OF NEWBURGH,NEWBURGH,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4924,MAJESTIC CARE OF NORTH VERNON,NORTH VERNON,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4925,MAJESTIC CARE OF SHERIDAN,SHERIDAN,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4926,MAJESTIC CARE OF SOUTH BEND,SOUTH BEND,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4927,MAJESTIC CARE OF SOUTHPORT,INDIANAPOLIS,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4928,MAJESTIC CARE OF TERRE HAUTE,TERRE HAUTE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4929,MAJESTIC CARE OF WEST ALLEN,FORT WAYNE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4969,MAJESTIC CARE OF DEMING PARK,Terre Haute,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4970,MAJESTIC CARE OF NORTH VERNON,North Vernon,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4971,MAJESTIC TERRE HAUTE,Terre Haute,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,5072,SAINT ANTHONY,CROWN POINT,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,5130,"ST ANTHONY, MAJESTIC CARE",Crown Point,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,7233,MAJESTIC CARE OF BATTLE CREEK,BATTLE CREEK,MI,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
